Empid,name,domain,year founded,industry,size range,locality
5872184,ibm,ibm.com,1911,information technology and services,10001+,"new york, new york, united states"
4425416,tata consultancy services,tcs.com,1968,information technology and services,10001+,"bombay, maharashtra, india"
21074,accenture,accenture.com,1989,information technology and services,10001+,"dublin, dublin, ireland"
2309813,us army,goarmy.com,1800,military,10001+,"alexandria, virginia, united states"
1558607,ey,ey.com,1989,accounting,10001+,"london, greater london, united kingdom"
3844889,hewlett-packard,hpe.com,1939,information technology and services,10001+,"palo alto, california, united states"
2959148,cognizant technology solutions,cognizant.com,1994,information technology and services,10001+,"teaneck, new jersey, united states"
5944912,walmart,walmartcareers.com,1962,retail,10001+,"withee, wisconsin, united states"
3727010,microsoft,microsoft.com,1975,computer software,10001+,"redmond, washington, united states"
3300741,at&t,att.com,1876,telecommunications,10001+,"dallas, texas, united states"
5412257,united states air force,airforce.com,1947,defense & space,10001+,"randolph, texas, united states"
2780814,pwc,pwc.com,1998,accounting,10001+,"new york, new york, united states"
3972223,wells fargo,wellsfargo.com,,financial services,10001+,"san francisco, california, united states"
1454663,infosys,infosys.com,1981,information technology and services,10001+,"bangalore, karnataka, india"
3221953,deloitte,deloitte.com,1900,management consulting,10001+,"new york, new york, united states"
2994580,citi,citigroup.com,1812,financial services,10001+,"new york, new york, united states"
5372097,bank of america,bankofamerica.com,1968,banking,10001+,"charlotte, north carolina, united states"
1170519,jpmorgan chase & co.,jpmorganchase.com,1823,financial services,10001+,"new york, new york, united states"
4000842,us navy,navy.com,,military,10001+,"washington, district of columbia, united states"
4306268,amazon,amazon.com,1994,internet,10001+,"seattle, washington, united states"
5735407,apple,apple.com,1976,consumer electronics,10001+,"cupertino, california, united states"
2441266,siemens,siemens.com,1847,electrical/electronic manufacturing,10001+,"munich, bavaria, germany"
229577,oracle,oracle.com,1977,information technology and services,10001+,"redwood shores, california, united states"
1685535,nokia,nokia.com,1865,telecommunications,10001+,"espoo, uusimaa, finland"
4604890,education nationale,education.gouv.fr,,public policy,10001+,"paris, Ã®le-de-france, france"
6021320,capgemini,capgemini.com,1967,information technology and services,10001+,"france, aquitaine, france"
1373987,wipro technologies,wipro.com,1945,information technology and services,10001+,"bangalore, karnataka, india"
4968033,hsbc,hsbc.com,1865,financial services,10001+,"london, greater london, united kingdom"
1001070,google,google.com,1998,internet,10001+,"mountain view, california, united states"
4186125,united states postal service,usps.com,,government administration,10001+,"washington, district of columbia, united states"
6465913,mcdonald's corporation,aboutmcdonalds.com,1955,restaurants,10001+,"oak brook, illinois, united states"
3874979,ericsson,ericsson.com,,information technology and services,10001+,"kista, stockholm, sweden"
295807,nhs,,1948,hospital & health care,10001+,
651752,boeing,boeing.com,1916,aviation & aerospace,10001+,"chicago, illinois, united states"
1379366,vodafone,vodafone.com,1982,telecommunications,10001+,"berks, west berkshire, united kingdom"
100292,kaiser permanente,kaiserpermanente.org,1945,hospital & health care,10001+,"oakland, california, united states"
6249577,ford motor company,ford.com,1903,automotive,10001+,"dearborn, michigan, united states"
5872179,intel corporation,intel.com,1968,semiconductors,10001+,"santa clara, california, united states"
2396132,department of veterans affairs,va.gov,1930,government administration,10001+,"washington, district of columbia, united states"
4291705,cisco,cisco.com,1984,computer networking,10001+,"san jose, california, united states"
5654137,general motors,gm.com,,automotive,10001+,"detroit, michigan, united states"
7076008,pepsico,pepsico.com,1965,food & beverages,10001+,"purchase, new york, united states"
1470821,target,target.com,1962,retail,10001+,"minneapolis, minnesota, united states"
2945894,shell,shell.com,1833,oil & energy,10001+,"the hague, zuid-holland, netherlands"
4296553,hcl technologies,hcltech.com,1991,information technology and services,10001+,"noida, uttar pradesh, india"
1752210,ups,ups.com,1907,transportation/trucking/railroad,10001+,"atlanta, georgia, united states"
6001034,pfizer,pfizer.com,1848,pharmaceuticals,10001+,"new york, new york, united states"
3844400,unilever,unilever.com,1872,consumer goods,10001+,"london, greater london, united kingdom"
1104865,nestlÃ©,nestle.com,1866,food & beverages,10001+,"vevey, vaud, switzerland"
4979859,unitedhealth group,unitedhealthgroup.com,1980,hospital & health care,10001+,"minneapolis, minnesota, united states"
3243805,huawei technologies,huawei.com,1987,telecommunications,10001+,"shenzhen, guangdong, china"
5486571,dell,dell.com,1984,information technology and services,10001+,"round rock, texas, united states"
1704309,gsk,gsk.com,1830,pharmaceuticals,10001+,"hayes, hillingdon, united kingdom"
5058468,honeywell,honeywell.com,1985,electrical/electronic manufacturing,10001+,"morristown, new jersey, united states"
1360249,sap,sap.com,1972,computer software,10001+,
3737260,schlumberger,slb.com,1926,oil & energy,10001+,"houston, texas, united states"
4985291,lockheed martin,lockheedmartin.com,1912,defense & space,10001+,"bethesda, maryland, united states"
4083731,"ayatama energi, trisco nusantara",,1999,design,10001+,
5842173,abb,abb.com,,electrical/electronic manufacturing,10001+,"zurich, zurich, switzerland"
4112520,american center of krasnodar,,,education management,10001+,
2187941,starbucks,starbucks.com,1971,retail,10001+,"seattle, washington, united states"
3936147,promobroker agente de seguros y de fianzas s a de c v,,,insurance,10001+,
4107042,morgan stanley,morganstanley.com,1935,financial services,10001+,"new york, new york, united states"
3117142,the home depot,homedepot.com,1977,retail,10001+,"atlanta, georgia, united states"
2118,independiente,ailinsemprini.com.ar,,photography,10001+,
4479252,novartis,novartis.com,1996,pharmaceuticals,10001+,"basel, basel-city, switzerland"
1749711,johnson & johnson,jnj.com,1887,hospital & health care,10001+,"new brunswick, new jersey, united states"
5505720,bp,bp.com,1909,oil & energy,10001+,"london, greater london, united kingdom"
2596333,schneider electric,schneider-electric.com,1836,electrical/electronic manufacturing,10001+,"erlanger, kentucky, united states"
4520365,state farm,statefarm.com,1922,insurance,10001+,"bloomington, illinois, united states"
4842820,secretarÃ­a de educaciÃ³n pÃºblica,sep.gob.mx,,government administration,10001+,
3460593,dhl,dhl.com,1969,logistics and supply chain,10001+,"bonn, nordrhein-westfalen, germany"
6921751,my home,andyross.net,,publishing,10001+,
4784855,td,td.com,1955,banking,10001+,"toronto, ontario, canada"
2122790,ge,ge.com,1892,electrical/electronic manufacturing,10001+,"fairfield, connecticut, united states"
586049,philips,philips.com,1891,hospital & health care,10001+,"guildford, surrey, united kingdom"
313532,ubs,ubs.com,1862,financial services,10001+,"zurich, zurich, switzerland"
2407251,procter & gamble,pg.com,1837,consumer goods,10001+,"cincinnati, ohio, united states"
5029327,walgreens,walgreens.com,1901,retail,10001+,"deerfield, illinois, united states"
6217067,"keller williams realty, inc.",kw.com,1983,real estate,10001+,"austin, texas, united states"
2268961,"lowe's companies, inc.",lowes.com,1946,retail,10001+,"mooresville, north carolina, united states"
916981,verbum traducciÃ³n y ediciÃ³n,,,translation and localization,10001+,
1958827,united states marine corps,marines.com,,military,10001+,"washington, district of columbia, united states"
2636553,dell emc,dellemc.com,1979,information technology and services,10001+,"hopkinton, massachusetts, united states"
4482331,tech mahindra,techmahindra.com,1986,information technology and services,10001+,"pune, maharashtra, india"
825557,verizon wireless,verizonwireless.com,2000,telecommunications,10001+,"basking ridge, new jersey, united states"
6233790,sanofi,sanofi.com,,pharmaceuticals,10001+,"paris, Ã®le-de-france, france"
1279232,bnp paribas,bnpparibas.com,1848,banking,10001+,"paris, Ã®le-de-france, france"
1712673,sodexo,sodexo.com,1966,facilities services,10001+,
4474110,deutsche bank,db.com,1870,investment banking,10001+,"frankfurt, hessen, germany"
3515714,tencent,tencent.com,1998,internet,10001+,"shenzhen, guangdong, china"
2769600,j.p. morgan,jpmorgan.com,,financial services,10001+,"new york, new york, united states"
900902,verizon,verizon.com,1983,information technology and services,10001+,"basking ridge, new jersey, united states"
323766,l'orÃ©al,loreal.com,,cosmetics,10001+,"paris, Ã®le-de-france, france"
5827698,kpmg,kpmg.com,1987,accounting,10001+,"montvale, new jersey, united states"
5626776,orange,orange.com,1988,telecommunications,10001+,"paris, Ã®le-de-france, france"
3621470,linkedin,linkedin.com,2003,internet,10001+,"mountain view, california, united states"
6821034,barclays,barclays.com,,financial services,10001+,"london, greater london, united kingdom"
3372569,facebook,facebook.com,2004,internet,10001+,"menlo park, california, united states"
